id,X,Y,ELEVATION,NAME,FNAME,STATION_TYP,T,SRA,SCE,SCEa,SSV,P,F,RGLB
C1KNSTTT,14.0119,48.8472,1126,Knížecí Stolec,Knížecí Stolec,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA
C1KOCE01,13.838611,49.467222,519,Kocelovice,Kocelovice,AMS1,T,SRA,SCE,NA,SSV,P,F,RGLB_D
C1KPLATT,13.625,48.9572,1018,Knížecí Pláně,"Knížecí Pláně, Borová Lada",TOTAL,NA,NA,NA,NA,NA,NA,NA,NA
C1KRSI01,14.0725,49.484444,430,Krsice,Krsice,ASS,NA,SRA,SCE,NA,NA,NA,NA,NA
C1KTIS01,14.1058,48.9033,758,Ktiš,"Ktiš, Tisovka",AKS2,T,SRA,SCE,NA,NA,NA,F,NA
C1KVIL01,13.5792,49.0192,1059,Kvilda,Kvilda,AKS3,T,SRA,SCE,NA,NA,NA,NA,NA
C1NALH01,13.5486,49.3347,495,Nalžovské Hory,Nalžovské Hory,ASS,NA,SRA,SCE,NA,NA,NA,NA,NA
C1NEMC01,14.2714,49.0308,436,Němčice,Němčice,MSS,NA,SRA,SCE,NA,NA,NA,NA,NA
C1ORLV01,14.1683,49.5036,431,Orlík nad Vltavou,Orlík nad Vltavou,ASS,NA,SRA,SCE,NA,NA,NA,NA,NA
C1PASE01,14.2678,49.2497,482,Paseky,Paseky,ASS,NA,SRA,SCE,NA,NA,NA,NA,NA
C1PLCHTT,13.851601,48.771198,1344,Plechý,"Plechý, Trojmezí",TOTAL,NA,NA,NA,NA,NA,NA,NA,NA
C1POLETT,13.3958,49.0642,1312,Poledník,Poledník,TOTAL,NA,NA,SCE,NA,NA,NA,NA,NA
C1PRAS01,13.3786,49.1069,883,Prášily,Prášily,ASS,NA,SRA,SCE,NA,NA,NA,NA,NA
C1PRCH01,13.9944,49.0078,607,Prachatice,Prachatice,MSS,NA,SRA,SCE,NA,NA,NA,NA,NA
C1RADO01,13.7272,49.5322,570,Radošice,Radošice,ASS,NA,SRA,SCE,NA,NA,NA,NA,NA
C1ROSLTT,13.4167,49.0156,1096,Rokytská slať,Rokytská slať,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA
C1ROZM01,13.8664,49.605,538,Rožmitál pod Třemšínem,Rožmitál pod Třemšínem,AKS1,T,SRA,SCE,NA,SSV,P,F,NA
C1SEDL01,13.9419,49.3756,511,Sedlice,Sedlice,AKS3,T,SRA,SCE,NA,NA,NA,NA,NA
C1SRNI01,13.4789,49.0869,857,Srní,Srní,MSS,NA,SRA,SCE,NA,NA,NA,NA,NA
C1STOZ01,13.821667,48.8569,797,Stožec,Stožec,MSS,NA,SRA,SCE,NA,NA,NA,NA,NA
C1STRA01,13.9242,49.2514,427,Strakonice,Strakonice,AKS1,T,SRA,SCE,NA,SSV,NA,F,NA
C1STRS01,13.6425,49.1797,637,Strašín,Strašín,ASS,NA,SRA,NA,NA,NA,NA,NA,NA
C1STRZ01,13.72028,48.908822,811,Strážný,Strážný,ASS,NA,SRA,NA,SCEa,NA,NA,NA,NA
C1SUSI01,13.5283,49.2381,484,Sušice,Sušice,MSS,NA,SRA,SCE,NA,NA,NA,NA,NA
C1TEME01,14.342222,49.197778,500,Temelín,Temelín,AMS1,T,SRA,SCE,NA,SSV,P,F,NA
C1TOCH01,13.9897,49.6003,494,Tochovice,Tochovice,MSS,NA,SRA,SCE,NA,NA,NA,NA,NA
C1VACP01,13.72,49.1336,738,Vacov,"Vacov, Peckov",ASS,T,SRA,SCE,NA,NA,NA,F,NA
C1VIMP01,13.7825,49.065833,628,Vimperk,Vimperk,AKS3,T,SRA,SCE,SCEa,NA,NA,NA,NA
C1VLKO01,13.5897,49.3022,493,Vlkonice,Vlkonice,AKS1,T,SRA,SCE,SCEa,SSV,NA,F,NA
C1VOLR01,13.88657,48.90881,749,Volary,Volary,AKS2,T,SRA,SCE,NA,NA,NA,F,NA
C1VOLY01,13.8639,49.1875,448,Volyně,"Volyně, Nihošovice",ASS,NA,SRA,SCE,NA,NA,NA,NA,NA
C1VRAZ01,14.1289,49.3844,433,Vráž,Vráž,AKS1,T,SRA,SCE,NA,SSV,NA,F,NA
C1ZALE01,13.8892,49.1078,569,Zálezly,Zálezly,MSS,NA,SRA,SCE,NA,NA,NA,NA,NA
C1ZAMY01,13.374402,49.22629,800,Zámyšl,Zámyšl,ASS,NA,SRA,SCE,NA,NA,NA,NA,NA
C1ZAVI01,13.923056,49.487222,501,Závišín,Závišín,MSS,NA,SRA,SCE,NA,NA,NA,NA,NA
C1ZBYT01,13.9889,48.9417,792,Zbytiny,Zbytiny,ASS,NA,SRA,SCE,NA,NA,NA,NA,NA
C2BECH01,14.4708,49.3,409,Bechyně,Bechyně,ASS,NA,SRA,SCE,NA,NA,NA,NA,NA
C2BENC01,14.6283,48.7311,665,Benešov nad Černou,Benešov nad Černou,MSS,NA,SRA,SCE,NA,NA,NA,NA,NA
C2BESE01,14.5689,48.7958,593,Besednice,Besednice,MSS,NA,SRA,SCE,NA,NA,NA,NA,NA
C2BORK01,14.636825,49.207925,419,Borkovice,Borkovice,AKS2,T,SRA,SCE,NA,NA,NA,F,NA
C2BORS01,14.439722,48.926667,404,Boršov nad Vltavou,Boršov nad Vltavou,MSS,NA,SRA,SCE,NA,NA,NA,NA,NA
